aggregation,role,effect_estimator,se_source,se_method,crit_value_method,weighting,metric,geometric_mean,ci_lower,ci_upper,raw_median,raw_min,raw_max,arithmetic_mean_unweighted,arithmetic_mean_kweighted,n_unit,verification_status
meta_analysis_level,reference_uncorrected,uncorrected_beta0,se_beta0,NA,z_1.96,k_effect_sizes,power,0.8220737046105893,0.7171736480520882,0.9423173559816781,0.9129258088815501,0.0539316785204883,1,0.710038425457268,0.8857097503950125,48,two_derivations
meta_analysis_level,reference_uncorrected,uncorrected_beta0,se_beta0,NA,z_1.96,k_effect_sizes,type_M,1.1085608464203045,1.0247973885855572,1.199170844797195,1.0522991094122045,1,12.687025813993051,1.7913171905059158,1.1763456502520833,48,two_derivations
meta_analysis_level,reference_uncorrected,uncorrected_beta0,se_beta0,NA,z_1.96,k_effect_sizes,type_S,5.830502574538377e-4,-7.099687873945333e-4,0.001944899936388543,7.223375990578843e-8,7.970070141940813e-93,0.2962281539428636,0.013462737114737378,0.001625697414195957,48,two_derivations
meta_analysis_level,primary,yang2023_gated_beta0_c3,se_beta0,NA,z_1.96,k_effect_sizes,power,0.3903771039959561,0.29635898397792376,0.5142219118136186,0.2613870909145822,0.05000003450386037,1,0.40608145754710545,0.5337045120758701,48,two_derivations
meta_analysis_level,primary,yang2023_gated_beta0_c3,se_beta0,NA,z_1.96,k_effect_sizes,type_M,2.1770696432395016,1.4787364010564437,3.2051907480798243,1.954954181412633,1,4259.631579854067,93.85939247325369,35.33964739459642,48,two_derivations
meta_analysis_level,primary,yang2023_gated_beta0_c3,se_beta0,NA,z_1.96,k_effect_sizes,type_S,0.012225245985474795,0.0035094830874761555,0.02360554414218178,0.0021950024574868927,6.031812924633213e-57,0.4993584751387011,0.07007059553837987,0.05060516858564434,48,two_derivations
meta_analysis_level,reported_sensitivity,yang2024_FE_VCV,own_CRVE,CR2_Satterthwaite,z_1.96,k_effect_sizes,power,0.47894781727745006,0.36770718748549447,0.6238415224991567,0.8235842973000618,0.050429035375350595,1,0.6788743455794899,0.6481938875519733,48,two_derivations
meta_analysis_level,reported_sensitivity,yang2024_FE_VCV,own_CRVE,CR2_Satterthwaite,z_1.96,k_effect_sizes,type_M,1.5257428525710341,1.2742246036432885,1.8269081020062268,1.1089119107637524,1,38.22310033099711,2.292805390444782,2.2117698883784733,48,two_derivations
meta_analysis_level,reported_sensitivity,yang2024_FE_VCV,own_CRVE,CR2_Satterthwaite,z_1.96,k_effect_sizes,type_S,0.00562135507422323,0.0019885050803867474,0.009743213223139362,7.591577731895303e-7,1.5178806097150142e-58,0.42895589948540064,0.01446701072309654,0.012285459120216013,48,two_derivations
meta_analysis_level,supplementary,yang2024_UWLS,own_CRVE,CR2_naive_t,z_1.96,k_effect_sizes,power,0.3826850291624545,0.2654617643587782,0.5516720341960085,0.8525236555419747,0.05177897323809777,1,0.6740804434177975,0.6419971788897866,48,two_derivations
meta_analysis_level,supplementary,yang2024_UWLS,own_CRVE,CR2_naive_t,z_1.96,k_effect_sizes,type_M,2.0112554553950255,1.5137410942946816,2.6722855857600027,1.0900060056627283,1,18.806520475073768,2.194090046504655,3.4752842238192296,48,two_derivations
meta_analysis_level,supplementary,yang2024_UWLS,own_CRVE,CR2_naive_t,z_1.96,k_effect_sizes,type_S,0.02303523337151371,0.010724866247240707,0.03958760766484328,4.179116462161742e-7,5.946356367399839e-57,0.35838125672789384,0.02271861045610962,0.062340770398710825,48,two_derivations
meta_analysis_level,diagnostic_critical_value,yang2024_FE_VCV,own_CRVE,CR2_Satterthwaite,t_Satterthwaite_per_model,k_effect_sizes,power,0.3057796912328947,0.19649895121233577,0.47583571817361753,0.7454664041893795,0.0014288566233005007,1,0.6035306768357743,0.595327871403244,48,two_derivations
meta_analysis_level,diagnostic_critical_value,yang2024_FE_VCV,own_CRVE,CR2_Satterthwaite,t_Satterthwaite_per_model,k_effect_sizes,type_M,1.6464708035963207,1.3464710142296523,2.0133118934209393,1.136666623335934,1,42.08266378128066,2.5734277610576015,2.4915654247075367,48,two_derivations
meta_analysis_level,diagnostic_critical_value,yang2024_FE_VCV,own_CRVE,CR2_Satterthwaite,t_Satterthwaite_per_model,k_effect_sizes,type_S,0.0030431449845507996,8.174856859657215e-5,0.006354192809713666,1.326061062334493e-7,5.45664275272223e-60,0.42188930829180765,0.012408790292565258,0.008906805241512068,48,two_derivations
meta_analysis_level,diagnostic_crve_variant,yang2024_FE_VCV,own_CRVE,CR1,z_1.96,k_effect_sizes,power,0.5285655256245051,0.4200504890538198,0.665114128323067,0.8475141164145692,0.05044060363774716,1,0.6859955398450563,0.668986025324751,48,single_derivation
meta_analysis_level,diagnostic_crve_variant,yang2024_FE_VCV,own_CRVE,CR1,z_1.96,k_effect_sizes,type_M,1.4329567202451963,1.216108553590442,1.6884717700845946,1.0932154052959442,1,37.71860059276645,2.247766004802022,2.0483306738588465,48,single_derivation
meta_analysis_level,diagnostic_crve_variant,yang2024_FE_VCV,own_CRVE,CR1,z_1.96,k_effect_sizes,type_S,0.00313464809743276,1.2073082396605803e-4,0.006510167005619211,4.621260175585304e-7,3.7143225963313767e-63,0.4280178078274556,0.013881604275705282,0.00918224485983125,48,single_derivation
meta_analysis_level,diagnostic_crve_variant,yang2024_UWLS,own_CRVE,CR1,z_1.96,k_effect_sizes,power,0.39111459273634863,0.27272556973685635,0.5608957927887585,0.8773035231634816,0.05208301897927581,1,0.6830785592613918,0.6475947369367184,48,single_derivation
meta_analysis_level,diagnostic_crve_variant,yang2024_UWLS,own_CRVE,CR1,z_1.96,k_effect_sizes,type_M,1.9316018820566334,1.4763207637966338,2.527286699652958,1.07419916849905,1,17.387123232304514,2.0875662035971256,3.1658053689014025,48,single_derivation
meta_analysis_level,diagnostic_crve_variant,yang2024_UWLS,own_CRVE,CR1,z_1.96,k_effect_sizes,type_S,0.021231190415388228,0.00992106027735172,0.03620441218705089,2.1395108918458977e-7,5.357886333682952e-61,0.347475802110049,0.020403066359350557,0.054564934747738755,48,single_derivation
meta_analysis_level,diagnostic_hybrid_not_reported,yang2024_FE_VCV,se_beta0,NA,z_1.96,k_effect_sizes,power,0.7075116864385533,0.58699067967197,0.8527780828255442,0.7323887188277263,0.05045664653547377,1,0.631777730837424,0.8061535869071765,48,two_derivations
meta_analysis_level,diagnostic_hybrid_not_reported,yang2024_FE_VCV,se_beta0,NA,z_1.96,k_effect_sizes,type_M,1.2387712062719751,1.0618133487344779,1.4452202011940065,1.1742078262006075,1,37.050957691542344,2.4948247777554755,1.8209722266720914,48,two_derivations
meta_analysis_level,diagnostic_hybrid_not_reported,yang2024_FE_VCV,se_beta0,NA,z_1.96,k_effect_sizes,type_S,0.0022381027379865803,-8.274140221775431e-4,0.005692381917507445,3.842287424760904e-6,1.4162726181650148e-84,0.42673786093023575,0.01973115457361446,0.00877431644322352,48,two_derivations
meta_analysis_level,diagnostic_hybrid_not_reported,yang2024_UWLS,se_beta0,NA,z_1.96,k_effect_sizes,power,0.4314435872023722,0.31840774122696386,0.5846075482359776,0.6975403097505023,0.05538809581522275,1,0.6084724073892598,0.6397636794571098,48,two_derivations
meta_analysis_level,diagnostic_hybrid_not_reported,yang2024_UWLS,se_beta0,NA,z_1.96,k_effect_sizes,type_M,1.6284345684618216,1.349088936903093,1.9656221848863338,1.2019911346562262,1,10.857924140308421,2.183227807566396,2.0960075073858397,48,two_derivations
meta_analysis_level,diagnostic_hybrid_not_reported,yang2024_UWLS,se_beta0,NA,z_1.96,k_effect_sizes,type_S,0.009657064418920593,0.004442810313014366,0.015794750955084404,6.562102765297556e-6,5.372270156970884e-86,0.26646821246560515,0.0231850619350969,0.018942971410655304,48,two_derivations
